Race,City,State,Gender,Lat,Long,Time,Dist
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:38:39 AM,9.1
Parkway,Liberty,MO,M,39.2463496,-94.4189374,1:38:42 AM,13.6
Parkway,Saint Joseph,MO,M,39.7686055,-94.8466321,1:38:43 AM,49.6
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:38:43 AM,0
Parkway,Excelsior Springs,MO,M,39.339175,-94.226059,1:38:50 AM,25.2
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:38:51 AM,9.1
Parkway,Kansas City,KS,M,39.1146799,-94.7495245,1:38:52 AM,10.2
Parkway,Lawrence,KS,M,38.9719384,-95.2359495,1:38:53 AM,37
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:38:54 AM,9.1
Parkway,Columbia,MO,M,38.951883,-92.3337365,1:38:54 AM,120.3
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:38:55 AM,9.1
Parkway,Papillion,NE,F,41.1544433,-96.0422377,1:38:56 AM,162.9
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:38:57 AM,9.1
Parkway,Shawnee,KS,M,39.0416718,-94.7202375,1:38:57 AM,9
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:38:58 AM,9.1
Parkway,Leawood,KS,M,38.966673,-94.6169011,1:39:00 AM,8.6
Parkway,Lees Summit,MO,M,38.9108408,-94.3821723,1:39:01 AM,15.4
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:39:02 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:39:07 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:39:08 AM,0
Parkway,Saint Louis,MO,F,38.6272733,-90.1978888,1:39:13 AM,237.5
Parkway,Renner,SD,M,43.64557,-96.7278258,1:39:13 AM,334.2
Parkway,Overland Park,KS,F,38.9822282,-94.6707916,1:39:17 AM,9.1
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:39:20 AM,9.1
Parkway,Prairie Village,KS,M,38.9914109,-94.6332767,1:39:24 AM,7.4
Parkway,Topeka,KS,M,39.0490111,-95.6775556,1:39:25 AM,60
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:39:26 AM,0
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:39:27 AM,9.1
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:39:28 AM,0
Parkway,Saint Joseph,MO,F,39.7686055,-94.8466321,1:39:29 AM,49.6
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:39:30 AM,19.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:39:31 AM,0
Parkway,Lawrence,KS,M,38.9719384,-95.2359495,1:39:32 AM,37
Parkway,Mukwonago,WI,F,42.8666803,-88.3334273,1:39:32 AM,417.2
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:39:37 AM,0
Parkway,Warrensburg,MO,M,38.7627893,-93.7360497,1:39:40 AM,49.8
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:39:40 AM,0
Parkway,Liberty,MO,M,39.2463496,-94.4189374,1:39:40 AM,13.6
Parkway,Ft Leavenworth,KS,M,39.3450982,-94.9216266,1:39:50 AM,26.3
Parkway,Kansas City,KS,M,39.1146799,-94.7495245,1:39:50 AM,10.2
Parkway,Lenexa,KS,F,38.9536174,-94.7335708,1:39:50 AM,12.9
Parkway,Overland Park,KS,F,38.9822282,-94.6707916,1:39:51 AM,9.1
Parkway,Liberty,MO,M,39.2463496,-94.4189374,1:39:53 AM,13.6
Parkway,UNK,UNK,M,#N/A,#N/A,1:39:55 AM,#N/A
Parkway,Raymore,MO,F,38.801953,-94.4527293,1:39:56 AM,20.4
Parkway,Kansas City,KS,F,39.1146799,-94.7495245,1:39:56 AM,10.2
Parkway,Gabor,ne,M,#N/A,#N/A,1:39:56 AM,#N/A
Parkway,Bonner Springs,KS,M,39.059726,-94.8835753,1:39:59 AM,17.3
