DIVISION,TIME
F4044,2:30:50
F4044,2:30:53
M4044,2:31:02
F4044,2:31:02
-,2:31:04
F2529,2:31:04
F2529,2:31:08
F5054,2:31:09
F3539,2:31:12
M5559,2:31:13
M3539,2:31:17
F4549,2:31:21
F4549,2:31:21
F3034,2:31:21
M4549,2:31:29
F4549,2:31:35
F3539,2:31:41
M4549,2:31:41
M3034,2:31:44
F2529,2:31:49
F3034,2:31:50
F1924,2:31:52
F4549,2:31:59
F3034,2:32:02
M4549,2:32:04
M1924,2:32:06
F3539,2:32:08
F5054,2:32:16
F5054,2:32:16
F5054,2:32:17
F4044,2:32:18
F4044,2:32:24
F4549,2:32:24
F3034,2:32:25
F3034,2:32:29
F4044,2:32:31
F4044,2:32:33
F5054,2:32:33
F5054,2:32:33
F4044,2:32:34
F3539,2:32:35
M4044,2:32:44
M6064,2:32:47
M2529,2:32:59
M1924,2:33:05
F3539,2:33:10
M1924,2:33:13
M4549,2:33:13
M4044,2:33:14
F3034,2:33:17
F5054,2:33:20
M4549,2:33:27
M6064,2:33:33
M2529,2:33:37
F3539,2:33:37
M3034,2:33:38
F4044,2:33:39
F4549,2:33:39
F4044,2:33:41
M4549,2:33:42
F4044,2:33:44
F4044,2:33:45
F3539,2:33:49
F3539,2:33:49
M3539,2:33:51
F3539,2:33:51
F6569,2:34:00
F6569,2:34:10
PACER,2:34:11
F5054,2:34:13
M4549,2:34:19
F4549,2:34:21
F4549,2:34:21
M5054,2:34:27
F4044,2:34:28
PACER,2:34:33
